name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Ollie Watkins,Forward,97,45,804,45,37,5,29,7,0,1,2,0,14,Premier League,3329
Kortney Hause,Defender,5,1,232,0,7,0,4,8,0,0,2,0,1,Premier League,630
Rodri,Midfielder,32,8,2785,33,34,2,72,36,0,0,6,0,2,Premier League,2749
Michail Antonio,Forward,63,25,453,27,26,5,7,7,0,0,3,0,10,Premier League,1984
Dominic Calvert-Lewin,Forward,83,46,675,18,33,0,17,6,0,0,3,0,16,Premier League,2876
Jimmy Dunne,Defender,7,1,153,2,3,0,3,6,0,0,1,0,1,Premier League,270
Aaron Wan-Bissaka,Defender,7,4,1806,31,34,4,88,62,0,0,3,0,2,Premier League,3060
Phil Foden,Midfielder,45,20,762,36,28,5,22,11,0,0,0,0,9,Premier League,1614
Joseph Willock,Midfielder,19,13,227,8,14,0,26,17,0,0,0,0,8,Premier League,980
Marcus Rashford,Forward,79,37,1189,43,37,9,18,8,0,0,4,0,11,Premier League,2928
Thiago,Midfielder,22,5,1720,30,24,0,61,30,0,0,4,0,1,Premier League,1858
Allan Saint-Maximin,Forward,30,13,417,30,25,4,16,4,0,0,0,0,3,Premier League,1568
Gabriel Jesus,Forward,55,16,732,31,29,4,17,15,0,0,2,0,9,Premier League,2060
Pedro Neto,Forward,61,21,1019,61,31,6,16,31,0,0,4,0,5,Premier League,2559
Adama TraorÃ©,Forward,43,13,700,55,37,2,28,7,0,0,4,0,2,Premier League,2645
Roberto Firmino,Forward,83,34,1301,44,36,7,33,11,0,0,2,0,9,Premier League,2852
Jamie Vardy,Forward,82,38,434,28,34,9,18,4,0,0,1,0,15,Premier League,2846
Mat Ryan,Goalkeeper,0,0,47,1,3,0,0,0,8,0,0,0,0,Premier League,270
Youri Tielemans,Midfielder,49,20,2479,49,38,4,86,46,0,0,6,0,6,Premier League,3358
Lucas Digne,Defender,13,0,1265,46,30,7,64,31,0,1,2,0,0,Premier League,2682
Christian Benteke,Forward,71,34,575,15,30,1,15,4,0,1,1,0,10,Premier League,1819
Bernardo Silva,Midfielder,28,13,1372,27,26,6,26,17,0,0,5,0,2,Premier League,2071
Kurt Zouma,Defender,27,12,1775,4,24,0,16,28,0,0,3,0,5,Premier League,2025
Solly March,Midfielder,22,4,717,27,21,1,49,22,0,0,0,0,2,Premier League,1675
James Ward-Prowse,Midfielder,43,24,2434,60,38,7,75,42,0,0,5,0,8,Premier League,3420
Mohamed Salah,Forward,126,52,1263,57,37,5,18,1,0,0,0,0,22,Premier League,3082
Liam Cooper,Defender,15,9,1648,0,25,0,68,61,0,1,4,0,1,Premier League,2188
Kiko Casilla,Goalkeeper,0,0,78,0,3,0,0,0,8,0,0,0,0,Premier League,270
Serge Aurier,Defender,15,6,792,18,19,3,55,19,0,0,0,0,2,Premier League,1609
Paul Pogba,Midfielder,31,11,1333,26,26,3,36,26,0,0,3,0,3,Premier League,1896
Harry Maguire,Defender,36,10,2227,7,34,1,29,60,0,0,11,0,2,Premier League,3048
John Stones,Defender,15,5,1727,2,22,0,21,18,0,1,0,0,4,Premier League,1934
James Justin,Defender,10,3,1054,20,23,1,61,30,0,0,4,0,2,Premier League,2070
Luke Shaw,Defender,11,6,1609,72,32,5,44,20,0,0,8,1,1,Premier League,2657
Patrick Bamford,Forward,107,48,507,30,38,7,21,10,0,0,3,0,17,Premier League,3066
Caoimhin Kelleher,Goalkeeper,0,0,52,0,2,0,0,0,6,0,0,0,0,Premier League,180
James Tarkowski,Defender,22,6,1259,12,36,0,66,44,0,0,6,0,1,Premier League,3240
Antonio RÃ¼diger,Defender,14,7,1523,3,19,0,31,18,0,0,0,1,1,Premier League,1710
